CASE;LANGUAGE;SC01;GS01_01;GS01_02;GS01_03;CM01_01;CM01_02;CM01_03;CM01_04;CM01_05;CS01_01;CS01_02;CS01_03;CS01_04;CS01_05;CS01_06;CS01_07;FW01_01;FW01_02;FW01_03;FW01_04;CW01_01;CW01_02;CW01_03;CW01_04;CF01_06;CF02;CF02_06;CF03_01;CF04;CF05_01;CF06;CF06s;SD01;SD02_01;SD03_01;SD04;SD04_09;SD05;SD05_08;SD06;SD07;SD08
188;deu;2;5;5;5;6;6;6;6;6;6;4;4;5;5;5;5;6;5;6;5;4;5;3;4;8;3;;5;2;1;-2;Es gibt beim Yoga keine Ziele;1;27;81;8;;4;;6;4;3
189;deu;2;3;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;deu;2;5;5;4;3;4;4;5;6;5;5;5;6;5;6;6;6;6;4;6;5;4;3;5;11;5;;4;1;6;-2;.;1;43;24;9;Betriebswirt;2;;6;1;
192;deu;2;5;5;4;5;4;4;4;5;4;3;3;3;4;3;2;3;2;3;4;3;2;3;1;12;5;;3;2;4;-2;Ich mir ziele setze die ich auch erreiche, jedoch ein erreichen nicht das hauptziel ist, der spass steht im vordergrund;2;36;80;6;;4;;10;6;4
193;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;deu;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;deu;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;deu;2;5;5;6;6;4;4;6;5;3;7;5;3;6;4;5;4;4;4;5;3;3;3;4;4,5;5;;0,5;2;4;-9;;2;31;86;4;;4;;7;9;3
198;deu;2;6;6;5;5;6;5;5;6;5;5;5;6;5;5;5;5;6;4;5;4;6;6;6;;1;;20;2;2;-2;weil für mich Erlebnis vor Ergebnis steht;2;42;81;8;;7;;5;14;
199;deu;2;5;5;5;5;4;4;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;deu;2;6;6;6;6;6;5;6;6;6;4;5;4;6;6;6;6;6;6;7;5;7;7;5;3;5;;0,5;1;6;-2;Mit einem Ziel vor Augen kann man (auch kleine) Fortschritte besser sehen und wertschätzen.;1;28;80;8;;4;;6;8;1
201;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;deu;2;7;6;6;7;7;7;6;6;6;6;5;6;6;6;5;7;7;7;7;6;5;5;2;9;5;;5;2;7;-2;Um mich weiterentwickeln zu können;2;31;53;7;;8;Berufssoldat ;10;-9;
